run_id,timestamp,scenario,parameter_name,value,unit,description,source,details_json
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.V_lv,1,state index,"State vector index for ""idx.V_lv"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.V_rv,2,state index,"State vector index for ""idx.V_rv"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.V_la,3,state index,"State vector index for ""idx.V_la"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.V_ra,4,state index,"State vector index for ""idx.V_ra"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.P_sa,5,state index,"State vector index for ""idx.P_sa"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.P_sc,6,state index,"State vector index for ""idx.P_sc"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.P_sv,7,state index,"State vector index for ""idx.P_sv"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.P_pa,8,state index,"State vector index for ""idx.P_pa"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.P_pc,9,state index,"State vector index for ""idx.P_pc"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.P_pv,10,state index,"State vector index for ""idx.P_pv"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.Q_sa,11,state index,"State vector index for ""idx.Q_sa"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.Q_sv,12,state index,"State vector index for ""idx.Q_sv"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.Q_pa,13,state index,"State vector index for ""idx.Q_pa"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,idx.Q_pv,14,state index,"State vector index for ""idx.Q_pv"".",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,n_state,14,dimensionless,"Exported field ""n_state""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,height_cm,170,cm,"Exported field ""height_cm""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,weight_kg,70,kg,"Exported field ""weight_kg""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,BSA,1.73,m^2,"Exported field ""BSA""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,age_years,30,years,"Exported field ""age_years""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,L_aorta,40,cm,"Exported field ""L_aorta""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,r_aorta,12,mm,"Exported field ""r_aorta""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,h_aorta,1.5,mm,"Exported field ""h_aorta""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,N_capillary,1000000000,dimensionless,"Exported field ""N_capillary""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,P_ao_mean,90,mmHg,"Exported field ""P_ao_mean""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,E_arterial,1000,not specified by caller,"Exported field ""E_arterial""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,V_blood,2240,mL,"Exported field ""V_blood""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,C_lung,200,mL/mmHg,"Exported field ""C_lung""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,R_airway,1.5,mmHg*s/mL,"Exported field ""R_airway""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,T_cardiac,0.72289156626506,s,"Exported field ""T_cardiac""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,HR,83,bpm,"Exported field ""HR""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,n_cycles,50,dimensionless,"Exported field ""n_cycles""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,n_warmup,40,dimensionless,"Exported field ""n_warmup""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emax_lv,4.09540622985071,mmHg/mL,"Exported field ""Emax_lv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emin_lv,0.102052376258468,mmHg/mL,"Exported field ""Emin_lv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,V0_lv,1.89173696691178,mL,"Exported field ""V0_lv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emax_rv,0.847667068653154,mmHg/mL,"Exported field ""Emax_rv""; verify definition in source function.",payload struct,
ped_healthy_8yo_20260521_2108,2026-05-21 21:08:27,Healthy_Pediatric_8yo,Emin_rv,0.0742219518590508,mmHg/mL,"Exported field ""Emin_rv""; verify definition in source function.",payload struct,
